scope,id,name,spirit,styles,price,deck_copies,deck_games,deck_inclusion_rate,average_copies_when_included,drawn,selected,pick_rate_when_drawn,selection_share,selected_side_win_rate,served,service_share,served_win_rate,flags
overall,d39,Golden Sangria,Wine,Cheap|Fruity,14,114181,70248,0.35124,1.6253985878601527,298168,91301,0.30620656810925384,0.013596206327691492,0.5561822981128356,30856,0.013784883268986603,0.646551724137931,
overall,d40,Cellar Select,Wine,Premium|Savory,20,114531,70476,0.35238,1.6251064192065383,298707,178635,0.5980274985186153,0.026601661727113278,0.5393176029333557,68288,0.03050758713613421,0.599592900656045,
overall,d41,Cream Sherry Flip,Wine,Creamy|Strong,18,114159,70358,0.35179,1.6225446999630462,298146,156634,0.5253600584948314,0.02332535439843626,0.5043285621257199,51664,0.02308083384783912,0.4543008671415299,
overall,d42,Spiced Mulled Wine,Wine,Spicy,16,113916,70262,0.35131,1.621303122598275,297314,146643,0.4932260169383211,0.021837531730338807,0.49384559781237425,38558,0.01722574309974026,0.46444317651330463,
random,d1,Golden Lager,Beer,Cheap,8,71928,56450,0.5645,1.2741895482728078,188002,44861,0.23861980191700088,0.013359909609688489,0.49813869508035935,14652,0.013090394480806651,0.4995904995904996,
random,d2,Citrus Shandy,Beer,Cheap|Fruity,10,71553,56110,0.5611,1.2752272322224203,187339,57252,0.3056064140408564,0.017050033324577815,0.5395095367847411,23192,0.02072020398572672,0.576405657123146,
random,d3,Midnight Stout,Beer,Bitter|Strong,14,71320,56051,0.56051,1.2724126242172307,186245,59690,0.32049182528390024,0.017776086235311427,0.5555872005361032,25925,0.023161921711364487,0.6055930568948891,
random,d4,Spiced Saison,Beer,Spicy|Fresh,14,71647,56325,0.56325,1.272028406569019,187517,82012,0.4373576795703856,0.024423729005367073,0.5089377164317417,29988,0.026791888458260298,0.47619047619047616,
random,d5,Velvet Porter,Beer,Creamy|Bitter,16,71314,55958,0.55958,1.274420100789878,186679,73242,0.3923419345507529,0.02181196361277734,0.5323311761011441,29610,0.026454175578534325,0.551097602161432,
random,d6,Cellar Reserve Ale,Beer,Premium|Savory,20,71505,56251,0.56251,1.2711774012906438,186754,114316,0.6121207577883204,0.034044078975973543,0.4630672871689002,31805,0.028415233173768466,0.36934444269768907,
random,d7,Clean Cut Martini,Vodka,Clean,16,71420,56165,0.56165,1.2716104335440221,186489,83497,0.4477315015899061,0.024865972062151083,0.4569385726433285,22803,0.020372663482516658,0.38929088277858176,
random,d8,Market Mule,Vodka,Fresh|Spicy,14,71469,56200,0.562,1.2716903914590747,186643,76187,0.40819639632882027,0.02268900455703923,0.47476603620040164,23686,0.02116155362219399,0.37536941653297307,
random,d9,Neon Cosmo,Vodka,Fruity|Sour,14,71245,55871,0.55871,1.275169587084534,185893,56992,0.3065849709241338,0.016972603563794084,0.49887703537338574,19674,0.017577151311451683,0.5224661990444242,
random,d10,Vanilla White Russian,Vodka,Creamy|Sweet,16,71552,56217,0.56217,1.2727822544781828,187131,57436,0.30692937033415096,0.017104829770670918,0.5033254404902848,20113,0.01796936283049851,0.545517824292746,
random,d11,Pepper Lemon Drop,Vodka,Cheap|Sour,12,71518,56163,0.56163,1.2734006374303366,187140,42417,0.22665918563642193,0.012632069858321406,0.522361317396327,15721,0.014045460799396763,0.5321544431015839,
random,d12,Diamond Vodka Tonic,Vodka,Premium|Clean,20,71551,56302,0.56302,1.2708429540691273,186560,107469,0.5760559605488851,0.032004996006411185,0.5252491416129302,41629,0.03719219436537675,0.5613394508635807,
random,d13,Old Fashioned,Whiskey,Bitter|Strong,18,71582,56095,0.56095,1.276085212585792,186890,92108,0.4928460591791963,0.02743038617795384,0.46623528900855515,25462,0.02274826810471601,0.41175084439556986,
random,d14,Whiskey Sour,Whiskey,Sour|Fresh,16,71309,55949,0.55949,1.2745357379041626,186225,83186,0.4466962008323265,0.02477335415598285,0.4636357079316231,21909,0.019573945719355237,0.3853667442603496,
random,d15,Honey Highball,Whiskey,Sweet|Clean,14,71559,56188,0.56188,1.273563750266961,186939,72831,0.389597676247332,0.021689565029384593,0.4652963710507888,20624,0.018425900612350284,0.3241854150504267,
random,d16,Smoked Manhattan,Whiskey,Premium|Bitter,22,71726,56133,0.56133,1.2777866851940927,186637,101904,0.5460010608828904,0.030347701318867073,0.5403615167216204,39647,0.03542143529760724,0.5822382525790097,
random,d17,Straight Rye,Whiskey,Strong,18,71623,56420,0.5642,1.2694611839773131,186604,90983,0.48757261366315835,0.027095353559178078,0.44408296055307034,21843,0.0195149799784507,0.37778693402920843,
